merged_data
Month,2023_temp,2022_temp,2021_temp,2020_temp,2023_humid,2022_humid,2021_humid,2020_humid,date,class,focuses,uf,2020_rain,2021_rain,2022_rain,2023_rain
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Consolidado,32.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Consolidado,12.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Consolidado,44.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Consolidado,1.0,TOCANTINS,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Recente,2.0,AMAZONAS,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Recente,84.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Recente,15.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Desmatamento Recente,47.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Floresta,1.0,AMAZONAS,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Floresta,5.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Floresta,1.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Floresta,12.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Outros,46.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Outros,5.0,PARÁ,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Outros,5.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Outros,52.0,RORAIMA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Vegetacao Secundaria,8.0,MATO GROSSO,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Vegetacao Secundaria,1.0,RONDÔNIA,974.8,1115.5,1240.2,349.6
4.0,26.4,25.7,26.0,26.2,87.6,90.3,89.1,88.2,2020/04,Vegetacao Secundaria,10.0,RORAIMA,974.8,1115.5,1240.2,349.6
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Consolidado,202.0,ACRE,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Consolidado,3.0,AMAPÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Consolidado,739.0,AMAZONAS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Consolidado,139.0,MARANHÃO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Consolidado,319.0,MATO GROSSO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Consolidado,1701.0,PARÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Consolidado,345.0,RONDÔNIA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Consolidado,12.0,RORAIMA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Consolidado,24.0,TOCANTINS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Recente,179.0,ACRE,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Recente,1629.0,AMAZONAS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Recente,9.0,MARANHÃO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Recente,497.0,MATO GROSSO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Recente,1751.0,PARÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Recente,633.0,RONDÔNIA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Desmatamento Recente,2.0,RORAIMA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Floresta,883.0,ACRE,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Floresta,19.0,AMAPÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Floresta,2361.0,AMAZONAS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Floresta,48.0,MARANHÃO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Floresta,687.0,MATO GROSSO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Floresta,2237.0,PARÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Floresta,560.0,RONDÔNIA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Floresta,18.0,RORAIMA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Floresta,2.0,TOCANTINS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Outros,3.0,ACRE,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Outros,46.0,AMAPÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Outros,182.0,AMAZONAS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Outros,15.0,MARANHÃO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Outros,60.0,MATO GROSSO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Outros,304.0,PARÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Outros,85.0,RONDÔNIA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Outros,42.0,RORAIMA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Outros,1.0,TOCANTINS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Vegetacao Secundaria,121.0,ACRE,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Vegetacao Secundaria,1.0,AMAPÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Vegetacao Secundaria,563.0,AMAZONAS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Vegetacao Secundaria,77.0,MARANHÃO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Vegetacao Secundaria,45.0,MATO GROSSO,1892.0,1826.0,1855.7,660.0
